出現フェーズ,敵ID,出現秒数
1,EnemyNormal,0
1,EnemyNormal,0.5
1,EnemyNormal,1
1,EnemyNormal,1.5
1,EnemyNormal,7.5
1,EnemyNormal,8
1,EnemyNormal,8.5
1,EnemyNormal,9
1,EnemyNormal,10
2,EnemyNormal,0
2,EnemyNormal,0.5
2,EnemyNormal,1
2,EnemyNormal,1.5
2,EnemyNormal,2
2,EnemyBig,2.5
2,EnemyNormal,10
2,EnemyNormal,10.5
2,EnemyNormal,11
2,EnemyNormal,11.5
2,EnemyNormal,12
2,EnemyNormal,12.5
2,EnemyNormal,18
2,EnemyNormal,18.5
2,EnemyNormal,19
2,EnemyNormal,19.5
2,EnemyNormal,20
2,EnemyBig,20.5
3,EnemyNormal,0
3,EnemyNormal,0.5
3,EnemyNormal,1
3,EnemyNormal,1.5
3,EnemyNormal,2
3,EnemyNormal,2.5
3,EnemyNormal,3
3,EnemyNormal,3.5
3,EnemyNormal,4
3,EnemyNormal,9
3,EnemyNormal,9.5
3,EnemyNormal,10
3,EnemyNormal,10.5
3,EnemyNormal,11
3,EnemyNormal,11.5
3,EnemyBig,12
3,EnemyNormal,18
3,EnemyNormal,18.5
3,EnemyNormal,19
3,EnemyNormal,19.5
3,EnemyNormal,20
3,EnemyBig,20.5
3,EnemyNormal,21
3,EnemyNormal,21.5
3,EnemyBig,22
